선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
조영건,키움,7.68,24,2,1,0,1,0.667,36 1/3,48,7,23,1,30,35,31,1.95,0,0,0,1,184,695,0.308,10,0,1,3,0,3,0
앤더슨,SSG,4.07,23,10,3,0,0,0.769,110 2/3,97,11,51,8,150,55,50,1.34,0,0,9,0,479,1946,0.233,13,1,2,1,0,5,1
최성영,NC,6.26,23,1,0,1,1,1.000,41 2/3,61,7,16,0,28,36,29,1.85,0,0,1,0,198,745,0.341,9,0,0,3,0,0,0
김사윤,KIA,4.62,23,0,1,1,0,0.000,37,40,2,25,5,36,29,19,1.76,0,0,0,0,173,727,0.288,6,2,1,3,0,4,0
원상현,KT,7.03,22,2,5,0,1,0.286,65 1/3,105,6,31,2,59,54,51,2.08,0,0,1,0,324,1248,0.37,18,2,1,6,0,7,1
엘리아스,SSG,4.08,22,7,7,0,0,0.500,123 2/3,126,13,30,6,104,59,56,1.26,0,0,10,0,525,1947,0.265,14,0,10,2,0,3,0
문동주,한화,5.17,21,7,7,0,0,0.500,111 1/3,148,14,38,4,96,71,64,1.67,0,0,7,0,502,1899,0.327,25,3,5,2,1,8,1
이재학,NC,5.77,20,3,11,0,0,0.214,98 1/3,101,17,42,4,88,66,63,1.45,0,0,6,0,437,1718,0.265,26,3,8,2,0,2,0
김건국,KIA,7.86,20,0,1,0,0,0.000,34 1/3,48,5,14,2,20,33,30,1.81,0,0,0,0,165,594,0.327,8,0,0,2,0,3,0
조동욱,한화,6.15,20,1,2,0,0,0.333,41,55,5,13,6,32,33,28,1.66,0,0,1,0,195,737,0.324,10,0,2,4,0,1,1
켈리,LG,4.51,19,5,8,0,0,0.385,113 2/3,131,13,25,6,69,65,57,1.37,2,1,11,0,495,1813,0.29,18,1,5,8,0,9,0
카스타노,NC,4.35,19,8,6,0,0,0.571,111 2/3,117,11,25,7,89,65,54,1.27,0,0,12,0,476,1783,0.269,23,4,4,5,0,0,1
김진욱,롯데,5.31,19,4,3,0,0,0.571,84 2/3,89,13,44,3,87,54,50,1.57,0,0,3,0,388,1630,0.264,21,3,3,1,0,5,0
바리아,한화,5.24,19,6,6,0,0,0.500,87 2/3,108,10,16,0,82,56,51,1.41,0,0,3,0,383,1525,0.299,18,1,2,3,0,6,0
이상규,한화,5.83,19,1,3,0,0,0.250,29 1/3,36,5,15,1,23,19,19,1.74,0,0,0,1,138,568,0.3,6,1,2,0,1,1,0
김윤하,키움,6.04,19,1,6,0,2,0.143,79,93,6,35,4,43,57,53,1.62,0,0,4,0,363,1311,0.296,22,2,5,5,0,3,1
김인범,키움,5.4,19,2,7,0,0,0.222,63 1/3,75,9,31,8,27,40,38,1.67,0,0,0,0,297,1129,0.294,8,1,2,1,0,3,1
